asin,cate,title
0684824906,Americas,Team of Rivals: The Political Genius of Abraham Lincoln
0060194480,Americas,A People's History of the United States: 1492 to the Present
0805074422,Americas,Freethinkers: A History of American Secularism
055338466X,Astronomy &amp; Space Science,The Grand Design
1413434819,Atheism,Atheist Universe
1578849209,Atheism,Natural Atheism
1940051002,Business Culture,Lying
0140012486,Classics,The Catcher in the Rye (Modern Classics S.)
074356619X,Entertaining &amp; Holidays,"The Secret (Unabridged, 4-CD Set)"
0307265439,Genre Fiction,The Road
0141188936,Humanities,Atlas Shrugged
1607461358,Humanities,Nonsense from the Bible
0143114166,Leaders & Notable People,The Age of Turbulence: Adventures in a New World
0141034599,Mathematics,The Black Swan: The Impact of the Highly Improbable
0061733636,Politics & Government,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime"
0143113623,Politics & Government,"The Assault on Reason: Our Information Ecosystem, from the Age of Print to the Age of Trump"
0446540331,Politics &amp; Government,Hitch-22: A Memoir
0399161309,Politics &amp; Government,This Town: Two Parties and a Funeral--Plus Plenty of Valet Parking!--in America's Gilded Capital
0316235024,Psychology & Counseling,The Gift of Fear : Survival Signals That Protect Us from Violence
0307352145,Relationships,Quiet: The Power of Introverts in a World That Can't Stop Talking
1939578094,Religious Studies,A Manual for Creating Atheists
1439171211,Religious Studies,The Moral Landscape: How Science Can Determine Human Values
1451683405,Religious Studies,Free Will [Deckle Edge]
1591024811,Theology,God: The Failed Hypothesis: How Science Shows That God Does Not Exist
080419257X,Theology,Zealot: The Life and Times of Jesus of Nazareth
0307265773,World,Letter to a Christian Nation
0060188707,World Literature,Don Quixote
*
1441887512,Alternative Medicine,"Buddha's Brain: The Practical Neuroscience of Happiness, Love &amp; Wisdom"
1620081199,Automotive,Proficient Motorcycling: The Ultimate Guide to Riding Well
0385519311,Business Culture,Women &amp; Money: Owning the Power to Control Your Destiny
0826412327,Christian Living,Cultivating Wholeness: A Guide to Care and Counseling in Faith Communities
1455883549,Creativity,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are
0061657700,Ethnic & National,The Amazing Adventures of Dietgirl
0192801562,Europe,Northern Ireland: A Very Short Introduction
032182248X,Graphics &amp; Design,Adobe Illustrator CS6 Classroom in a Book
1401921736,Happiness,"Excuses Begone!: How to Change Lifelong, Self-Defeating Thinking Habits"
1402202695,Hypnosis,Instant Self-Hypnosis: How to Hypnotize Yourself with Your Eyes Open
0743201140,Job Hunting & Careers,"Now, Discover Your Strengths"
0345340892,Job Hunting &amp; Careers,Wishcraft : How to Get What You Really Want
0684823993,Job Hunting &amp; Careers,The Pathfinder: How to Choose or Change Your Career for a Lifetime of Satisfaction and Success
0385523882,Marketing &amp; Sales,Buyology: Truth and Lies About Why We Buy
0684849135,Marketing &amp; Sales,Why We Buy: The Science Of Shopping
0521701473,Mathematics,A Student's Guide to Maxwell's Equations (Student's Guides)
0061583251,Mental Health,"The Happiness Project: Or, Why I Spent a Year Trying to Sing in the Morning, Clean My Closets, Fight Right, Read Aristotle, and Generally Have More Fun"
081293217X,Motivational,Finding Your Own North Star: Claiming the Life You Were Meant to Live
0470127627,Music,Banjo For Dummies
1878424599,New Age &amp; Spirituality,The Fifth Agreement: A Practical Guide to Self-Mastery
1453802266,Programming,Personal Kanban: Mapping Work | Navigating Life
1937473074,Psychology,Incredible 5 Point Scale: The Significantly Improved and Expanded Second Edition; Assisting Students in Understanding Social Interactions and Controlling their Emotional Responses
0399519904,Psychology &amp; Counseling,Get Out of Your Own Way: Overcoming Self-Defeating Behavior
0307345300,Relationships,"I Need Your Love - Is That True?: How to Stop Seeking Love, Approval, and Appreciation and Start Finding Them Instead"
1569242771,Relationships,Love Will Find You: 9 Magnets to Bring You and Your Soulmate Together
0375400125,Schools &amp; Teaching,Overcoming Dyslexia: A New and Complete Science-Based Program for Reading Problems at Any Level
0312332181,Skills,Secrets to Winning at Office Politics: How to Achieve Your Goals and Increase Your Influence at Work
0297847821,Sociology,Belle De Jour: The Intimate Adventures of a London Call Girl
0380722178,Specific Groups,Nobody Nowhere: the Extraordinary Autobiography of an Autistic
0991690311,Success,The Money Code: Become a Millionaire With the Ancient Jewish Code
*
0307278824,"Experiments, Instruments &amp; Measurement","Physics of the Impossible: A Scientific Exploration into the World of Phasers, Force Fields, Teleportation, and Time Travel"
0486420604,"Arts, Music &amp; Photography",How to Draw People (Dover How to Draw)
1401906834,Alternative Medicine,"Secrets of the Lost Mode of Prayer: The Hidden Power of Beauty, Blessings, Wisdom, And Hurt"
1582702470,Alternative Medicine,The Physics of Miracles: Tapping in to the Field of Consciousness Potential
1583331433,Alternative Medicine,Prescription for Nutritional Healing: The A-to-Z Guide to Supplements (Prescription for Nutritional Healing: A-To-Z Guide to Supplements)
055338466X,Astronomy &amp; Space Science,The Grand Design
0307913171,Business Culture,The Money Class: Learn to Create Your New American Dream
014312417X,Business Culture,Mastery
0486272982,Crafts &amp; Hobbies,Easy Origami (Dover Origami Papercraft)over 30 simple projects
0743266285,Death &amp; Grief,On Grief and Grieving: Finding the Meaning of Grief Through the Five Stages of Loss
1605295507,Diets & Weight Loss,"The Men's Health Big Book of Exercises: Four Weeks to a Leaner, Stronger, More Muscular YOU!"
